1	53.48
2	53.6
3	53.76
4	53.92
5	54.16
6	54.48
7	54.88
8	55.44
9	56.16
10	57.16
11	58.48
12	53.6
13	53.72
14	53.92
15	54.12
16	54.4
17	54.8
18	55.28
19	55.88
20	56.72
21	57.8
22	59.24
23	53.72
24	53.88
25	54.08
26	54.36
27	54.72
28	55.16
29	55.72
30	56.44
31	57.36
32	58.52
33	60.08
34	53.88
35	54.08
36	54.32
37	54.64
38	55.08
39	55.6
40	56.24
41	57.04
42	58.08
43	59.36
44	60.96
45	54.08
46	54.32
47	54.64
48	55.04
49	55.52
50	56.12
51	56.88
52	57.8
53	58.88
54	60.24
55	61.8
56	54.32
57	54.6
58	55
59	55.48
60	56.04
61	56.76
62	57.6
63	58.6
64	59.76
65	61.08
66	62.52
67	54.6
68	54.96
69	55.44
70	56
71	56.68
72	57.48
73	58.4
74	59.48
75	60.64
76	61.8
77	62.88
78	54.96
79	55.4
80	55.96
81	56.64
82	57.4
83	58.28
84	59.28
85	60.36
86	61.36
87	62.16
88	62.4
89	55.4
90	55.96
91	56.6
92	57.36
93	58.2
94	59.16
95	60.16
96	61.04
97	61.68
98	61.64
99	65.704362
100	55.92
101	56.56
102	57.32
103	58.16
104	59.08
105	60.04
106	60.88
107	61.36
108	61.2
109	64.997255
110	64.205296
111	56.56
112	57.28
113	58.12
114	59.04
115	59.96
116	60.72
117	61.2
118	60.88
119	64.572991
120	63.469905
121	68.96
122	57.28
123	58.12
124	59
125	59.88
126	60.64
127	61.08
128	60.72
129	64.290149
130	63.045641
131	68.32
132	65.36
133	58.08
134	58.96
135	59.84
136	60.6
137	61
138	60.6
139	64.092159
140	62.762798
141	67.92
142	64.72
143	72.139034
144	58.92
145	59.8
146	60.56
147	60.96
148	60.56
149	64.007306
150	62.649661
151	67.68
152	64.38
153	71.629917
154	64.615418
155	59.76
156	60.52
157	60.92
158	60.52
159	58.68
160	62.593092
161	67.56
162	64.26
163	71.375358
164	64.261864
165	74.52
166	60.48
167	60.88
168	60.56
169	58.76
170	62.649661
171	58.633294
172	64.36
173	71.332932
174	64.389143
175	74.39
176	83.728514
177	60.88
178	60.6
179	58.96
180	62.791082
181	59.00099
182	64.64
183	71.460211
184	64.940687
185	74.65
186	83.742656
187	75.533146
188	60.68
189	59.24
190	62.989072
191	59.623244
192	65.12
193	71.771338
194	65.944778
195	75.28
196	83.990143
197	76.756441
198	87.32
199	59.6
200	63.271915
201	60.415203
202	65.78
203	59.52
204	67.358992
205	76.22
206	84.407336
207	78.60199
208	87.98
209	90.912719
210	63.583042
211	61.433437
212	66.56
213	61.62
214	69.07019
215	77.33
216	69.53
217	80.779879
218	88.745
219	81.47
220	90.322285
221	62.451671
222	67.34
223	63.88
224	70.823815
225	63.257773
226	73.25
227	82.872915
228	89.43
229	85.435
230	90.930397
231	88.24
232	60.613193
233	65.94
234	59.9
235	67.655977
236	76.38
237	84.470976
238	78.877761
239	88.095
240	91.153135
241	89.548003
242	89.5475
243	58.350452
244	64.04
245	70.951094
246	63.526473
247	73.45
248	82.993123
249	89.5
250	85.6
251	91.043534
252	88.4525
253	90.655
254	66.74
255	61.98
256	69.367175
257	77.55
258	70.05
259	81.098077
260	88.92
261	81.935
262	90.569772
263	89.1175
264	90.5425
265	66.1
266	60.12
267	67.882251
268	76.6
269	84.647753
270	79.153533
271	88.265
272	91.25213
273	89.735386
274	89.6975
275	81.465772
276	65.58
277	72.167318
278	66.680169
279	75.83
280	84.322484
281	77.47769
282	87.68
